Meta_score,Title,desc1,duration,image,rated,rating,releaseYear,vote
46,47. The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",1h 42m,"https://m.media-amazon.com/images/M/MV5BN2I3MjIzYzMtNDkxNS00ZDIzLWEzZjktNDJlZDZlOGZlMTMxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",PG-13,5.7,2024,31K
78,48. Logan Lucky,Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,1h 58m,"https://m.media-amazon.com/images/M/MV5BMTYyODg0NDU1OV5BMl5BanBnXkFtZTgwNjcxMzU0MjI@._V1_QL75_UX140_CR0,0,140,207_.jpg",PG-13,7.0,2017,165K
,49. Munjya,"A young man's visit to his native village unveils a family secret and a vengeful spirit, the Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya's clutches.",2h 3m,"https://m.media-amazon.com/images/M/MV5BYTNjZDY2ODEtZTk2Yy00MjAyLWJlNWQtODM2NzdmYmE0ODJjXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Not Rated,6.6,2024,19K
70,50. The Bikeriders,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must choose between Kathy and his loyalty to the club.",1h 56m,"https://m.media-amazon.com/images/M/MV5BYzE2N2MyMTgtMzFhOC00M2ZkLWI3ODgtNTVjNzBiYzBmOGE2XkEyXkFqcGdeQXVyMjI0NjI0Nw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",R,6.7,2023,42K
64,51. MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",1h 43m,"https://m.media-amazon.com/images/M/MV5BNjBmYzFmODktNDIyZC00NWFmLTk2NTctYmZiY2E2OTA2OTc0XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",R,6.4,2024,34K
,52. Goodnight Soldier,"Ziné and Avdal love each other despite family feud. Families reconcile, agree to marriage. Avdal is injured, unable to consummate marriage on wedding night, causing tension.",1h 37m,"https://m.media-amazon.com/images/M/MV5BMTUzZjQ1YzgtNWUxZi00NzgwLWI5NTQtMTRhYjMxNjU3MWFiXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Not Rated,4.9,2022,626
90,53. Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",2h,"https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",R,8.1,2015,1.1M
52,54. Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",1h 34m,"https://m.media-amazon.com/images/M/MV5BNzY0ZTlhYzgtOTgzZC00ZTg2LTk4NTEtZDllM2E2NGE5Njg2XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",PG,6.2,2024,37K
27,55. Afraid,The Curtis' family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.,1h 24m,"https://m.media-amazon.com/images/M/MV5BNGFlMGU1ZmYtYmVkNy00ZDhjLWE4MWYtN2FhZjVlMTNjOWYwXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",PG-13,5.1,2024,1.3K
81,56. Babygirl,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,1h 54m,"https://m.media-amazon.com/images/M/MV5BOGIwYzE4YmQtZTIyNC00MjZmLWE3YTktMjA5ZTM5MjI1NWNmXkEyXkFqcGc@._V1_QL75_UY207_CR110,0,140,207_.jpg",Not Rated,6.2,2024,168
